2025-01-01 23:05:56,753 - INFO - Episode 1050/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.74
2025-01-01 23:05:59,544 - INFO - Episode 1060/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.74
2025-01-01 23:06:02,492 - INFO - Episode 1070/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.74
2025-01-01 23:06:05,157 - INFO - Episode 1080/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:20, Epsilon: 0.73
2025-01-01 23:06:07,636 - INFO - Episode 1090/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:15, Epsilon: 0.73
2025-01-01 23:06:10,334 - INFO - Episode 1100/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:24, Epsilon: 0.73
2025-01-01 23:06:13,234 - INFO - Episode 1110/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:23, Epsilon: 0.73
2025-01-01 23:06:15,944 - INFO - Episode 1120/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.72
2025-01-01 23:06:18,614 - INFO - Episode 1130/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.72
2025-01-01 23:06:21,196 - INFO - Episode 1140/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.72
2025-01-01 23:06:24,024 - INFO - Episode 1150/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:22, Epsilon: 0.72
2025-01-01 23:06:26,714 - INFO - Episode 1160/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.71
2025-01-01 23:06:29,596 - INFO - Episode 1170/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.71
2025-01-01 23:06:32,406 - INFO - Episode 1180/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.71
2025-01-01 23:06:35,336 - INFO - Episode 1190/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:25, Epsilon: 0.71
2025-01-01 23:06:38,165 - INFO - Episode 1200/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:24, Epsilon: 0.70
2025-01-01 23:06:41,137 - INFO - Episode 1210/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:31, Epsilon: 0.70
2025-01-01 23:06:43,824 - INFO - Episode 1220/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.70
2025-01-01 23:06:46,647 - INFO - Episode 1230/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:28, Epsilon: 0.70
2025-01-01 23:06:49,438 - INFO - Episode 1240/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.69
2025-01-01 23:06:52,242 - INFO - Episode 1250/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.69
2025-01-01 23:06:54,915 - INFO - Episode 1260/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:15, Epsilon: 0.69
2025-01-01 23:06:57,944 - INFO - Episode 1270/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:35, Epsilon: 0.69
